"OP_UNIQUE_CARRIER","ARR_DELAY","DISTANCE"
"AA",-13.00,370.00
"AA",-24.00,370.00
"AA",-10.00,370.00
"AA",11.00,370.00
"AA",5.00,370.00
"AA",-18.00,370.00
"AA",-18.00,370.00
"AA",-1.00,1440.00
"AA",12.00,1440.00
"AA",8.00,1440.00
"AA",-2.00,1440.00
"AA",8.00,1440.00
"AA",8.00,1440.00
"AA",53.00,1440.00
"AA",-5.00,1440.00
"AA",-11.00,1440.00
"AA",13.00,1440.00
"AA",3.00,1440.00
"AA",13.00,1440.00
"AA",-15.00,1440.00
"AA",1.00,1440.00
"AA",38.00,1440.00
"AA",18.00,1440.00
"AA",43.00,1440.00
"AA",16.00,1440.00
"AA",-4.00,1440.00
"AA",-20.00,1440.00
"AA",1.00,1440.00
"AA",-2.00,1440.00
"AA",67.00,1440.00
"AA",56.00,1440.00
"AA",-2.00,1440.00
"AA",-15.00,1440.00
"AA",-3.00,1440.00
"AA",2.00,1440.00
"AA",-1.00,1440.00
"AA",-7.00,1440.00
"AA",-10.00,1440.00
"AA",-38.00,2296.00
"AA",-20.00,2296.00
"AA",-14.00,2296.00
"AA",0.00,2296.00
"AA",-21.00,2296.00
"AA",-11.00,2296.00
"AA",91.00,2296.00
"AA",-31.00,2296.00
"AA",-17.00,2296.00
"AA",-7.00,2296.00
"AA",2.00,2296.00
"AA",3.00,2296.00
"AA",-8.00,2296.00
"AA",-26.00,2296.00
"AA",-22.00,2296.00
"AA",-15.00,2296.00
"AA",4.00,2296.00
"AA",-17.00,2296.00
"AA",-6.00,2296.00
"AA",-8.00,2296.00
"AA",-18.00,2296.00
"AA",-5.00,2296.00
"AA",-21.00,2296.00
"AA",-14.00,2296.00
"AA",-6.00,2296.00
"AA",-25.00,2296.00
"AA",-11.00,2296.00
"AA",-17.00,2296.00
"AA",-7.00,2296.00
"AA",-22.00,2296.00
"AA",-19.00,2296.00
"AA",20.00,992.00
"AA",12.00,992.00
"AA",6.00,992.00
"AA",93.00,992.00
"AA",117.00,992.00
"AA",,992.00
"AA",6.00,236.00
"AA",-29.00,236.00
"AA",1.00,236.00
"AA",-29.00,236.00
"AA",-17.00,236.00
"AA",-20.00,236.00
"AA",-29.00,236.00
"AA",-38.00,236.00
"AA",-44.00,236.00
"AA",-38.00,236.00
"AA",-13.00,236.00
"AA",-21.00,236.00
"AA",-30.00,236.00
"AA",-35.00,236.00
"AA",-38.00,236.00
"AA",-5.00,236.00
"AA",-34.00,236.00
"AA",-24.00,236.00
"AA",-36.00,236.00
"AA",-35.00,236.00
"AA",-39.00,236.00
"AA",-17.00,236.00
"AA",-27.00,236.00
"AA",-22.00,236.00
"AA",6.00,992.00
"AA",-10.00,992.00
"AA",-2.00,992.00
"AA",171.00,992.00
"AA",82.00,992.00
"AA",160.00,992.00
"AA",242.00,2845.00
"AA",0.00,2845.00
"AA",46.00,2845.00
"AA",-18.00,2845.00
"AA",-21.00,2845.00
"AA",-23.00,2845.00
"AA",-9.00,2845.00
"AA",1.00,2845.00
"AA",-37.00,2845.00
"AA",-20.00,2845.00
"AA",4.00,2845.00
"AA",8.00,2845.00
"AA",-22.00,2845.00
"AA",-9.00,2845.00
"AA",-19.00,2845.00
"AA",-18.00,2845.00
"AA",32.00,2845.00
"AA",-25.00,2845.00
"AA",133.00,2845.00
"AA",15.00,2845.00
"AA",9.00,2845.00
"AA",15.00,2845.00
"AA",8.00,2845.00
"AA",-32.00,2845.00
"AA",-5.00,2845.00
"AA",18.00,2845.00
"AA",-3.00,2845.00
"AA",-19.00,2845.00
"AA",-48.00,2845.00
"AA",-29.00,2845.00
"AA",-8.00,2845.00
"AA",62.00,651.00
"AA",-13.00,651.00
"AA",38.00,651.00
"AA",-6.00,651.00
"AA",-9.00,651.00
"AA",-14.00,651.00
"AA",-12.00,651.00
"AA",92.00,651.00
"AA",16.00,651.00
"AA",91.00,651.00
"AA",63.00,651.00
"AA",22.00,651.00
"AA",-13.00,651.00
"AA",-13.00,651.00
"AA",15.00,651.00
"AA",-8.00,651.00
"AA",-6.00,651.00
"AA",-8.00,651.00
"AA",3.00,651.00
"AA",19.00,651.00
"AA",16.00,651.00
"AA",-1.00,651.00
"AA",-3.00,651.00
"AA",1.00,651.00
"AA",1.00,651.00
"AA",-1.00,651.00
"AA",-13.00,651.00
"AA",-16.00,651.00
"AA",-5.00,651.00
"AA",-11.00,651.00
"AA",4.00,2521.00
"AA",44.00,2521.00
"AA",-1.00,2521.00
"AA",7.00,2521.00
"AA",8.00,2521.00
"AA",27.00,2521.00
"AA",-4.00,2521.00
"AA",-15.00,2521.00
"AA",-18.00,2521.00
"AA",-13.00,2521.00
"AA",-23.00,2521.00
"AA",-4.00,2521.00
"AA",-18.00,2521.00
"AA",-23.00,2521.00
"AA",-10.00,2521.00
"AA",-13.00,2521.00
"AA",4.00,2521.00
"AA",-4.00,2521.00
"AA",-31.00,2521.00
"AA",-38.00,2521.00
"AA",-10.00,2521.00
"AA",-10.00,2521.00
"AA",-15.00,2521.00
"AA",-32.00,2521.00
"AA",12.00,2521.00
"AA",-29.00,2521.00
"AA",-43.00,2521.00
"AA",0.00,2521.00
"AA",-18.00,2521.00
"AA",-51.00,2521.00
"AA",-44.00,2521.00
"AA",8.00,936.00
"AA",40.00,936.00
"AA",11.00,936.00
"AA",-7.00,936.00
"AA",13.00,936.00
"AA",-11.00,936.00
"AA",31.00,936.00
"AA",11.00,936.00
